"№","Приоритет","Команда / Агент / Skill / Фишка","Тип","Что делает","Когда стрелять","Как вызвать","Подводный камень"
"1","P0 BLOCKER","/feniks","Slash","Adversarial аудит. 25 чекпоинтов × 5 критериев (Accuracy 25%, Actionability 25%, Insight 20%, Brand Fit 15%, Risk 15%). На выходе score 0-10, verdict (go/return/veto), gaps, rework_tz.","Перед любым DELIVER >500K ₽, перед публикацией, перед merge PR, при оценке Roadmap.","/feniks <path-to-file>","Verdict «veto» (<6.0) = автоматическая эскалация Ивану, deliver невозможен."
"2","P0 BLOCKER","Step 12.5 Adversarial Gate","Process","Встроенный барьер между генерацией и доставкой. Любой critical artifact (Roadmap, КП >100K, лендинг, контент-кампания, стратегия) обязан пройти через ФЕНИКС.","Автоматически при classification as critical. Никогда не доставлять без него.","A2A: {intent: ""review_request"", deliverable_ref, p9_required: true}","«Выглядит хорошо» = запрещённая формула. Без скоринга ничего не уходит."
"3","P0 BLOCKER","/reality-audit","Slash","Protocol 9. Каждую цифру помечает [ДАННЫЕ] (source path + дата) или [ГИПОТЕЗА] (допущения). 5 вопросов Q1-Q5. 10 hard rules (бюджет >200K на гипотезе = блок, ROMI >50x без unit-эк = блок).","Любое касание финансов, KPI, планов, цифр. Срабатывает на 27 триггерных слов («удвоит», «уникальный актив», «никто в РФ»).","/reality-audit <text-or-path>","Иногда срабатывает hook сам, без явного вызова. Это норма."
"4","P0 BLOCKER","P9 trigger hook","Hook","Анализирует каждый промпт на 27 триггерных слов. Если хотя бы один найден - настаивает на /reality-audit прежде, чем двигаться дальше.","Автоматически на UserPromptSubmit. Не отключается.","Активен по .claude/settings.json","False-positive на цитатах. Ответ «source confirmed» или явный тег [ЦИТАТА] снимает блок."
"5","P0 BLOCKER","Anti-Slop checker hook","Hook","Grep на blocklist из CLAUDE.md §7 + em dash + significance-inflation. Блокирует Write/Edit, если найдено.","Автоматически на PreToolUse (Write, Edit).","Активен по .claude/settings.json","Ловит en dash и unicode minus тоже. Замена: дефис, запятая или перестроить фразу."
"6","P0 BLOCKER","feniks (subagent)","Agent","Tier 0 независимый аудитор. Право вето <6.0/10. Подчиняется только Ивану.","Любая review / проверь / аудит задача. Часть тройки Reality Audit (ДАТА + ФЕНИКС + МАРКО).","Use feniks to audit <path>","Не подчиняется СПАРТАК в диспутах. Эскалация только к Ивану."
"7","P0 BLOCKER","data (subagent)","Agent","Единственный владелец тегов [ДАННЫЕ]/[ГИПОТЕЗА]. Спрашивает «откуда цифра» на каждую.","Любое появление цифр в задаче (выручка, конверсия, %, ₽, units, даты с цифрами).","Use data to verify figures in <text>","Часть тройки Reality Audit. Блокирует deliver при цифре без источника."
"8","P1 STRATEGIC","/council","Slash","Shadow Council. Spartak оркестрирует 3+ агентов, FENIX гейт на конце.","Cross-functional задача: финансы >5M ₽, 3+ департамента, KPI <70%, стратегический разворот.","/council <question>","Один запуск = 30-60 минут работы агентов. Не для рутины."
"9","P1 STRATEGIC","/crisis","Slash","Protocol 8 activation. 24-часовой Plan B. Мобилизует spartak + feniks + roman + emma.","6 триггеров: кассовый разрыв, KPI drop, блок канала, потеря РОПа, рекламации >3%, выручка <80% × 2 недели.","/crisis <trigger>","При ложном триггере отвлекает 4 агентов на 24 часа. Сначала verify trigger."
"10","P1 STRATEGIC","spartak (subagent)","Agent","Chairman, multi-agent оркестрация. Применяет Protocol 11 model routing (haiku/sonnet/opus).","Один task → много агентов. Council, крупная multi-step задача.","Use spartak to coordinate <task>","Единственный агент с tool=Task. Может вызывать других."
"11","P1 STRATEGIC","marco (subagent)","Agent","CMO. Бренд-стратегия, каналы, market mechanics. Часть тройки Reality Audit.","Контент-стратегия, лендинги, позиционирование, вопрос «как покупает дизайнерский канал».","Use marco to evaluate market mechanics","Знает каналы, не просто пишет копи. Не путать с maks (long-form)."
