GENGROUP · План по мотивации и приоритетам (после ФЕНИКС-аудита 6.8/10- вердикт доработать)
Каркас к встрече. Жёлтое = вписать на созвоне: Ответственный, Срок, Статус, Решение.
№,Блок,Задача,Ответственный,Срок,Статус,Комментарий / решение
БЛОК 0 · Стратегические решения - принять ПЕРВЫМИ (поднял Иван),,,,,,
1,0. Стратегия,СТОП-ГЕЙТ: выбрать главное B2B-направление дизайнеры ИЛИ комплектовщики (GENTERO)- до выбора блоки 1-5 = черновик,,,К обсуждению,Инсайт Лысановой: её идеальный клиент - комплектовщик
2,0. Стратегия,Цель 15 млн = ориентир-гипотеза- НЕ KPI: посчитать run-rate за 2 сопоставимых месяца + мощность воронки и производства,,,К обсуждению,Роман (юнит-эк) + ДАТА. Дизайнерские деньги - только с сентября
3,0. Стратегия,Зафиксировать: основная команда держит ВХОД (ближние деньги)- прогрев ведут 1-2 человека,,,К обсуждению,Не оголять входящие ради дизайнеров
4,0. Стратегия,Назначить владельца воронки прогрева (Лысанова / выделенный)- решение о найме - по итогу пилота (см. Блок 2),,,К обсуждению,Богдан: холодный хантинг не нужен- нужна система + обучение
БЛОК 1 · Процент дизайнеру - ОТ СУММЫ ПРОЕКТА (не от оборота),,,,,,
5,1. Процент дизайнерам,ГЛАВНАЯ ПРАВКА: считаем процент от суммы одного проекта (чека)- а не от оборота дизайнера за месяц,,,К обсуждению,Богдан сказал прямо: мотивируем на чек одного проекта
6,1. Процент дизайнерам,Утвердить лестницу процента по сумме проекта (10% → 15% по ступеням- лист «Цифры»),,,К обсуждению,
7,1. Процент дизайнерам,ДО утверждения лестницы: вписать валовую маржу по типовым чекам и net-вклад после комиссии на каждой ступени,,,Не начато,ФЕНИКС G2: без цифры маржи лестницу не утверждать. Роман
8,1. Процент дизайнерам,Убрать обрыв на границе ступени: процент на сумму СВЕРХ порога ИЛИ расчёт по вилкам- проверить инверсию маржи на крупных,,,К обсуждению,ФЕНИКС G3: 799к→13% / 801к→14% со всего чека провоцирует дробление
9,1. Процент дизайнерам,Выбрать вариант: лестница по 200к ИЛИ проще (10% база / 12,5% от 500к / 15% от 1 млн),,,К обсуждению,Первый вариант Богдана был проще
10,1. Процент дизайнерам,Определить критерии исключения 20% (за что- кто согласует- как редко),,,К обсуждению,20% от выручки ≈ треть прибыли - давать очень редко
11,1. Процент дизайнерам,Оформить одностраничник «Условия для дизайнеров» + презентацию (Богдан давно просит),,,Не начато,
12,1. Процент дизайнерам,Довести новые условия до действующих дизайнеров (кто и как сообщает),,,Не начато,
БЛОК 2 · Система прогрева дизайнера - воронка (у нас её НЕТ- строим),,,,,,
13,2. Прогрев дизайнеров,Прописать воронку: лид (конкурсы/клуб/ТОН) → живая видео-презентация → экскурсия → первая покупка,,,К обсуждению,Работаем с тёплыми- не с холодными
14,2. Прогрев дизайнеров,Живая видео-презентация по созвону: компания- продукция- производство- мотивация- качество- отзывы,,,Не начато,Та же презентация- что в рассылке- но вживую с ответами
15,2. Прогрев дизайнеров,Экскурсии на производство: группы 5-10 чел раз в неделю- минивэн за наш счёт (от 4-6 чел),,,Не начато,Считать окупаемость минивэна
16,2. Прогрев дизайнеров,Сэмпл-бокс с металлом 5000₽ на старте ИЛИ бесплатно металл+стекло по 1-му проекту / обороту от 500к,,,К обсуждению,Триггер уточнить
17,2. Прогрев дизайнеров,Обучить менеджеров вести воронку: скрипты- расписание экскурсий- кто звонит и что показывает,,,Не начато,Без обучения система не заработает
18,2. Прогрев дизайнеров,ПИЛОТ: 2 менеджера × 10 тёплых дизайнеров × 4 недели- метрика конверсия тёплый→первый проект,,,Не начато,ФЕНИКС G4: решение о найме - по итогу пилота- не заранее
19,2. Прогрев дизайнеров,Мини-экономика воронки: CAC на дизайнера- конверсия по шагам- себестоимость бесплатного металла+стекла vs маржа 1-го проекта- доля повторных,,,Не начато,ФЕНИКС G5: без этого бесплатный металл - подарок вслепую. Роман + владелец воронки
БЛОК 3 · VALONTI - расширяем каталог и переводим дизайнеров,,,,,,
20,3. VALONTI,Каждую текущую модель расширить в варианты: в идеале 3- где нельзя - минимум 2,,,К обсуждению,Софья + Марина
21,3. VALONTI,Софья и Марина наполняют таблицу расчётов по всему расширению каталога,,,Не начато,
22,3. VALONTI,Богдан проставляет цены в таблице расчётов,,,Не начато,Богдан готов оперативно
23,3. VALONTI,Перевести дизайнеров на VALONTI- загрузить тем же ассортиментом- что GENGLASS,,,К обсуждению,Работаем на двух сайтах
БЛОК 4 · Розница - три рычага (по словам Богдана),,,,,,
24,4. Розница,Рычаг 1 - поднимать чек проекта: мотивировать дизайнеров и физиков на сумму заказа,,,К обсуждению,
25,4. Розница,Физику - официальный процент от заказа- прописать в КП- сказать менеджерам,,,Не начато,Этого в старой таблице не было
26,4. Розница,Рычаг 2 - конверсия: закрывать зависшие лиды в воронке (рост продаж без нового бюджета),,,К обсуждению,
27,4. Розница,Рычаг 3 - ценообразование: анализ конкурентов + системное повышение наценок и рентабельности,,,К обсуждению,
БЛОК 5 · Сроки - отвечаем деньгами в обе стороны,,,,,,
28,5. Гарантии сроков,Утвердить неустойку за день просрочки перед клиентом/дизайнером (черновик 0,5%- лист «Цифры»),,,К обсуждению,1% Богдан считает слишком сильным
29,5. Гарантии сроков,Просчитать худший случай: неустойка при просрочке 10/20/30 дней на типовом заказе,,,Не начато,
30,5. Гарантии сроков,ПОТОЛОК неустойки ОБЯЗАТЕЛЕН: не вносим пункт в договор без потолка (X% чека) и расчёта 10/20/30 дней,,,К обсуждению,ФЕНИКС G7: 0-5%/день × 30 = 15% чека- при низкой марже съедает прибыль
31,5. Гарантии сроков,Внести пункт о неустойке в договор (юрист / шаблоны)- после потолка,,,Не начато,Договора с гарантиями до сих пор нет
32,5. Гарантии сроков,Производство: повысить бонус за сдачу в срок (размер- лист «Цифры»),,,К обсуждению,Бонус уже есть
33,5. Гарантии сроков,Производство: ввести штраф за просрочку (размер- порядок),,,К обсуждению,Штрафа сейчас нет
34,5. Гарантии сроков,Упаковать «отвечаем деньгами за сроки» как аргумент для дизайнеров,,,Не начато,
