ID,Б/Е,Блок,Задача,Ответственный,Старт,Дней,Зависит,Статус,Гейт
S0,ГГВ,Стратегия,"Достать из программы 1С, сколько компания продавала каждый месяц за последние 6 месяцев — отдельно розницу и отдельно опт, не считая маркетплейсы (Озон, Wildberries). Это точка старта: без неё непонятно, сколько нужно добрать до цели 15 млн в месяц.",,2026-07-14,3,,план,да
S1,ГГВ,Стратегия,"Собраться и обсудить: на чём фокусируемся (дизайнеры, комплектовщики или входящие заявки) и какие цифры берём за основу плана.",,2026-07-14,1,,к обсуждению,
S2,ГГВ,Стратегия,"На данных из 1С посчитать, реально ли выйти на 15 млн выручки в месяц и за счёт чего — входящие заявки, опт, дизайнеры.",,2026-07-17,4,S0,план,
S3,ГГВ,Стратегия,"Принять решение, куда бросаем главные силы: развивать дизайнеров ИЛИ комплектовщиков (оба сразу в фокус не тянем). От этого выбора зависят почти все остальные задачи.",,2026-07-22,1,S2,к обсуждению,да
S4,ГГВ,Стратегия,"Назначить одного человека, который отвечает за привлечение дизайнеров и доведение их от первого знакомства до первого заказа.",,2026-07-22,1,S3,к обсуждению,
P1,ГГВ,Процент дизайнеру,"Посчитать, сколько мы реально зарабатываем (в процентах) на типовых заказах — перегородка, зеркало, комплект. Без этого нельзя понять, какой процент можно отдать дизайнеру, не уйдя в убыток.",,2026-07-15,3,S1,план,
P2,ГГВ,Процент дизайнеру,"Утвердить, какой процент получает дизайнер в зависимости от суммы проекта. Убрать ловушку на границе ступеней: процент считать с суммы сверх порога, а не со всего заказа, иначе дизайнеру выгодно искусственно подгонять сумму под ступень.",,2026-07-18,2,P1,к обсуждению,
P3,ГГВ,Процент дизайнеру,"Оформить понятный документ с условиями для дизайнеров и презентацию, которой менеджеры будут их знакомить с компанией. Делаем после того, как выбрали главное направление.",,2026-07-23,4,P2;S3,план,
F1,ГГВ,Воронка прогрева,"Прописать по шагам, как ведём дизайнера: как знакомимся, живой созвон-презентация, экскурсия на производство, первая покупка, первый проект.",,2026-07-23,3,S4,план,
F2,ГГВ,Воронка прогрева,"Написать менеджерам, что именно говорить на каждом шаге, и обучить их этому. Без обучения система прогрева работать не будет.",,2026-07-26,4,F1;P3,план,
F3,ГГВ,Воронка прогрева,"Пробный запуск: 2 менеджера ведут по 10 тёплых дизайнеров 4 недели. Так как сделка идёт 1,5-2 месяца, за это время смотрим ранний сигнал — сколько людей дошло до экскурсии или купило пробник, а не сразу до заказа. По итогу решаем, нужен ли отдельный человек.",,2026-07-30,28,F2,план,
F4,ГГВ,Воронка прогрева,"Посчитать, во сколько нам обходится привлечь одного дизайнера и окупается ли бесплатный образец (металл, стекло), который дарим на старте. Чтобы не раздавать подарки вслепую.",,2026-07-26,3,F1,план,
V1,ГГВ,VALONTI,"По каждой текущей модели придумать 2-3 варианта исполнения (цвет, размер, отделка), чтобы каталог стал шире.",,2026-07-21,10,S1,план,
V2,ГГВ,VALONTI,"Внести все новые варианты в таблицу расчётов себестоимости и цен.",,2026-08-01,6,V1,план,
V3,ГГВ,VALONTI,"Проставить цены по новым позициям в таблице расчётов.",,2026-08-07,3,V2,план,
V4,ГГВ,VALONTI,"Перевести работу с дизайнерами на бренд VALONTI и загрузить сайт VALONTI той же продукцией. Делаем после выбора направления.",,2026-08-10,5,V3;S3,план,
V5,ГГВ,VALONTI,"Чётко определить, чем VALONTI отличается от GENGLASS для клиента (позиционирование, цена, аудитория). Иначе один и тот же товар на двух сайтах будет конкурировать сам с собой.",,2026-07-21,2,S1,к обсуждению,
R1,ГГВ,Розница · 3 рычага,"Ввести процент и обычному покупателю-физлицу от суммы его заказа и прописать это в коммерческом предложении. Заранее решить, как законно оформить выплату физлицу (налоги, договор).",,2026-07-23,3,P2,план,
R2,ГГВ,Розница · 3 рычага,"Проработать зависшие заявки в базе — тех, кто интересовался, но не купил. Это прямой рост продаж без затрат на рекламу.",,2026-07-14,42,S1,в работе,
R3,ГГВ,Розница · 3 рычага,"Проанализировать цены конкурентов и планомерно, системно поднимать наши наценки и прибыльность.",,2026-07-21,14,S1,план,
D1,ГГВ,Сроки и гарантии,"Посчитать, сколько мы заплатим клиенту, если просрочим заказ на 10, 20 и 30 дней, чтобы понимать реальный риск.",,2026-07-16,2,S1,план,
D2,ГГВ,Сроки и гарантии,"Задать максимум, который мы платим за просрочку (потолок), и только после этого вносить пункт о неустойке в договор. Иначе за месяц просрочки можно отдать всю прибыль.",,2026-07-21,5,D1,план,
D3,ГГВ,Сроки и гарантии,"Производству: повысить премию за сдачу в срок, а за просрочку — снижать премию (не штрафовать: по Трудовому кодексу удерживать штрафы из зарплаты нельзя). Сверить с кадровиком.",,2026-07-18,3,S1,к обсуждению,
U1,ГГВ,Упаковка и задачи,"Собрать все условия и гарантии в один документ.",,2026-07-24,3,P2;D2;S3,план,
U2,ГГВ,Упаковка и задачи,"Распределить задачи между сотрудниками, с ответственными и сроками.",,2026-07-27,1,U1,план,
U3,ГГВ,Упаковка и задачи,"Подготовить план публикаций и контента под новые условия.",,2026-07-28,4,U2,план,
U4,ГГВ,Упаковка и задачи,"Назначить один день в неделю, когда проверяем статус всех задач плана.",,2026-07-30,35,U2,план,
A1,ГГВ,Приоритеты,"Ввести новинки для оптовиков — приоритеты уже определены на встрече с Виталиком и Надей.",,2026-07-14,14,,в работе,
A2,ГГВ,Приоритеты,"В рекламе сначала повышаем качество заявок, а не бюджет: определить, что считаем качественной заявкой, и назначить ответственного.",,2026-07-16,5,S1,к обсуждению,
