id,неделя,слот,бренд,канал,формат,рубрика,идея,хук,цель,статус,ссылка,ответственный,ситуатив,картинка,текст,тип медиа,alt,дата публикации,доп ссылка
w24-mon-g,24,Пн,G,IG/VK,Reels,До/после,"Прихожая: до каркас, после NERO",«Вот что случилось с этой прихожей за 3 дня»,охват,план,,SMM,нет,,"Вот что случилось с этой прихожей за 3 дня.

До: голая стена, крючки из «Леруа» и зеркало, которое жили сами по себе.

После: зеркало EVELIX S (104x54) в раме NERO RAL 9005 муар + стеллаж 37x100x180 в той же палитре. Всё из склада в Домодедово - отгрузка за 1-3 рабочих дня.

Чёрный матовый - не тренд, а фильтр: он обнуляет хаос и оставляет только то, что важно.

Хотите посчитать свой проект? Калькулятор в шапке профиля.

#GENGLASS #прихожая #зеркалоNERO #интерьер2026 #чёрнаямебель #EVELIX #доипосле

Сценарий (Reels, ~25сек):
0-2с: статичный кадр «до» - пустая прихожая, крючки, одиночное зеркало, тёплый боковой свет.
3-6с: руки монтажника разворачивают упаковку; слышен шорох плёнки (звук реальный, без музыки).
7-12с: ускоренный монтаж - рама крепится к стене, стеллаж встаёт рядом, камера чуть отъезжает назад.
13-18с: финальный кадр «после» - широкий план; камера медленно надвигается на зеркало EVELIX S, в отражении видна анфилада комнат.
19-22с: стоп-кадр с надписью «NERO RAL 9005 / склад Домодедово / 1-3 дня» белым шрифтом на чёрной плашке.
23-25с: логотип GENGLASS, стрелка вниз «Калькулятор в шапке».
Текст на экране: «1-3 рабочих дня до вот этого».
Аудио: реальные звуки монтажа (дрель, щелчок крепления), в финале тихая атмосфера без голоса.
В кадре: зеркало EVELIX S + стеллаж 37x100x180 / палитра NERO RAL 9005 муар / фронтальный ракурс с переходом в надвиг / боковой рассеянный свет",video,Прихожая до/после - чёрная матовая рама NERO на фоне белой стены,08.06.2026,
w24-tue-v,24,Вт,V,IG/VK,Reels макро,Материал крупно,Nero Marquina: прожилка под объективом,«Эту прожилку не нарисуют на фабрике»,охват целевой,план,,SMM,нет,,"Эту прожилку не нарисуют на фабрике.

Nero Marquina - чёрный мрамор с белой кальцитовой прожилкой. Каждый слэб уникален по рисунку: две плиты с одного блока дают зеркальную букматч-раскладку, но точь-в-точь совпадений нет.

Автор Богдан отбирает слэбы лично - по направлению прожилки и её толщине. Для столешниц берёт куски с диагональным рисунком: он «тянет» взгляд вдоль поверхности и визуально удлиняет изделие.

Отделка honed (матовая) - тактильная, не скользит, не бликует под архитектурным светом.

Если работаете с объектом под камень - напишите в личку, вышлем образец Nero Marquina honed.

#VALONTI #NeroMarquina #мраморвинтерьере #архитектурныйкамень #дизайнинтерьера #авторскаямебель #материалкрупно

Сценарий (Reels, ~20сек):
0-2с: чёрный экран, из темноты проявляется поверхность Nero Marquina - камера в макро, фокус на прожилке.
3-7с: медленное движение камеры вдоль прожилки слева направо; выдержка чуть замедлена, резкость «плывёт» к краям.
8-12с: смена плана - вид сверху на угол столешницы, палец дизайнера (ухоженная рука) касается поверхности, оценивая фактуру.
13-16с: кадр с боковым подсветом - свет выявляет кристаллическую структуру камня, прожилка светится.
17-20с: финальный стоп-кадр, надпись «Nero Marquina honed / образец по запросу» белым на чёрном фоне.
Текст на экране: «Nero Marquina. Отделка honed. Образец - в личку.»
Аудио: тишина с лёгким ambient; никакого фонового трека - только атмосфера студии.
В кадре: плита Nero Marquina honed / без изделия, только материал / макро + вид сверху / боковой жёсткий свет",video,"Макро белой прожилки на чёрном мраморе Nero Marquina, глубина резкости минимальная",09.06.2026,
w24-wed-g,24,Ср,G,IG/VK,карусель,Сколько стоит на самом деле,Комплект прихожей: 3 бюджета,«Три прихожих - три бюджета. Что реально входит в цену»,сохранения,план,,SMM,нет,,"Три прихожих - три бюджета. Что реально входит в цену.

Сохраните - пригодится перед ремонтом.

Многие думают, что зеркало за 12 000 и зеркало за 38 000 - это одно и то же, только этикетка другая. Это не так. Листайте - разберём по слайдам.

Посчитать свой комплект - калькулятор в шапке профиля. Или напишите нам, соберём смету за 24 часа.

#GENGLASS #прихожая #бюджетинтерьер #зеркало #мебельдляприхожей #ценамебели #сохрани

Сценарий (карусель, 6 слайдов):
Слайд 1: (надпись: «3 прихожих / 3 бюджета / листайте») Обложка - три рамы в ряд: NERO RAL 9005, ORO BS002, BIANCO RAL 9003.
Слайд 2: (надпись: «Эконом. ~45 000 руб. за комплект») Зеркало RAUNTEL S в BIANCO + 2 крючка. Перечень: рама порошок, стекло 4мм осветлённое, монтаж дюбель-шуруп. Срок: 1-3 дня со склада.
Слайд 3: (надпись: «Оптимум. ~90 000 руб. за комплект») Зеркало EVELIX S (104x54) в NERO + стеллаж 37x100x180. Перечень: муар RAL 9005, стекло 5мм, LED 3000K с сенсором, нижняя подсветка плинтуса.
Слайд 4: (надпись: «Премиум. ~160 000 руб. за комплект») Зеркало KUVINO L в ORO BS002 золотой муар + консоль на заказ + пуф HORSIX. Перечень: бронзовое напыление рамы, стекло с фацетом, LED 3000K встроенный, Bespoke-опции.
Слайд 5: (надпись: «Что даёт скидка 8-12% на комплект?») Таблица: одиночное зеркало EVELIX S - условная цена X; комплект Прихожая (зеркало + стеллаж) - X минус 8-12%. Текст: «Комплект выгоднее не потому что дешевле, а потому что вы не переплачиваете за совместимость».
Слайд 6: (надпись: «Калькулятор в шапке / смета за 24 ч») CTA-слайд на тёмном фоне с рамой NERO. Логотип GENGLASS, стрелка вверх.
В кадре: рамы трёх палитр / зеркала RAUNTEL/EVELIX/KUVINO / стеллаж 37x100x180 / фронтальный свет студийный",carousel,"Обложка карусели: три рамы NERO, ORO, BIANCO в ряд с ценовыми плашками",10.06.2026,
w24-thu-v,24,Чт,V,IG/VK,длинное,Рождение изделия,Богдан: как я выбираю слэб для стола,«Я отклоняю примерно каждый третий слэб. Вот почему»,доверие,план,,Богдан,нет,,"Я отклоняю примерно каждый третий слэб. Вот почему.

Когда приходит партия Travertino Navona, первое, что я делаю - смотрю на свет. Не в документы, не в накладную. На свет.

Травертин - осадочная порода с порами. В части плит поры заполнены эпоксидной смолой ещё на карьере - это нормально. Но если заполнение неравномерное или смола пожелтела, слэб пойдёт в другой проект. Не в VALONTI.

Для столешниц я беру куски с чистым тёплым тоном и минимальным перепадом по толщине - это важно при стыковке с латунной окантовкой PVD brushed. Миллиметровая ступенька будет видна под архитектурным светом.

Отделка honed: матовая, тактильная. Она правдиво показывает, что камень живой - он не скрывает поры, он их демонстрирует.

Если у вас объект под травертин - напишите в личку, покажу актуальные слэбы с фото в натуральном свете.

#VALONTI #Богдан #травертин #TravertinoNavona #авторскаямебель #камень #дизайнинтерьера

Сценарий (Reels, ~35сек):
0-3с: Богдан входит в кадр у стопки слэбов Travertino Navona. Без слов, смотрит на торцы.
4-9с: поднимает один слэб, подносит к боковому свету - пористая структура проявляется. Закадровый голос Богдана: «Вот тут заполнение неровное. Смола чуть пожелтела. Нет».
10-16с: откладывает, берёт следующий. Голос: «Этот - другое дело. Тон чистый, перепад по толщине меньше полумиллиметра».
17-22с: крупный план - Богдан проводит линейкой по краю слэба, камера фиксирует плотный контакт. Голос: «При стыковке с латунью каждая десятая видна».
23-29с: слэб горизонтально на столе, рука касается поверхности honed. Голос: «Honed не скрывает поры. Он их показывает. Это честно».
30-35с: финальный кадр - стопка отобранных слэбов, Богдан рядом. Надпись «Travertino Navona / образец по запросу в личку».
Текст на экране: «Каждый третий - нет».
Аудио: живой закадровый голос Богдана (разговорная интонация), атмосферный шум склада.
В кадре: Богдан / слэбы Travertino Navona honed / склад с боковым дневным светом / средний план + крупный план торца",video,"Богдан у стопки слэбов Travertino Navona, рука на поверхности камня",11.06.2026,
w24-fri-g,24,Пт,G,IG/VK,Reels,ASMR-процесс,Порошковая покраска TRUBIS: звук процесса,"«Вы никогда не слышали, как красят мебель. Исправляем»",охват,план,,SMM,нет,,"Вы никогда не слышали, как красят мебель. Исправляем.

Основание стола TRUBIS - вертикальные каннелированные колонны из стали. Перед покраской их обезжиривают, фосфатируют, потом - в камеру порошкового напыления.

Звук там особенный: сухой шелест пистолета, потом тишина печи при 180 градусах, потом щелчок - это полимер встаёт намертво.

Так получается RAL 9005 муар. Без запаха в доме, без сколов через год.

Смотрите в профиле линейку TRUBIS: столы L90, L100, L110, Oval 120-200, раздвижной R Max. Все - в палитрах NERO, ORO, BIANCO.

#GENGLASS #TRUBIS #ASMR #производство #порошковаяпокраска #стальнаямебель #мебельизстали

Сценарий (Reels, ~22сек):
0-2с: чёрный экран, надпись «Звук порошковой покраски» - входит шелест пистолета-напылителя.
3-7с: кадр внутри покрасочной камеры - оранжевое облако порошка вокруг основания TRUBIS, пистолет движется равномерно. Звук сухой, ритмичный.
8-12с: переход - деталь въезжает в печь. Дверь закрывается. Тишина. Только лёгкий гул нагрева.
13-17с: дверь открывается, деталь выезжает - поверхность уже матово-чёрная, RAL 9005 муар. Крупный план - пальцы технолога в перчатке касаются поверхности, убеждаясь в монолитности покрытия.
18-20с: финальная сборка - основание TRUBIS устанавливают под столешницу, камера фиксирует стыковочный узел.
21-22с: надпись «TRUBIS / RAL 9005 муар / 10-15 рабочих дней» + логотип GENGLASS.
Текст на экране: «180° / RAL 9005 / без сколов».
Аудио: реальные производственные звуки (без музыки) - шелест порошка, гул печи, металлический щелчок.
В кадре: основание TRUBIS (каннелированные колонны) / палитра NERO RAL 9005 муар / производственный цех / боковой промышленный свет",video,"Основание TRUBIS в порошковой камере, оранжевое облако краски вокруг детали",12.06.2026,
w24-sat-v,24,Сб,V,IG/VK,карусель,"Деталь, которую не видит заказчик",Латунный кант PVD: что внутри стыка,«Заказчик никогда не увидит этот шов. Богдан видит всегда»,контакты,план,,SMM,нет,,"Заказчик никогда не увидит этот шов. Богдан видит всегда.

Есть детали, которые не попадают в финальную фотографию объекта. Но именно они определяют, держится ли изделие через 10 лет или начинает «говорить» - скрипеть, расходиться, терять тон.

Листайте - покажем, что происходит внутри стыка латунного канта и камня.

Работаете над объектом с камнем и металлом? Напишите в личку - пришлём образцы Nero Marquina + латунь PVD brushed и спеку по вашему проекту.

#VALONTI #авторскаямебель #латунь #NeroMarquina #детальинтерьера #PVD #дизайнинтерьера

Сценарий (карусель, 6 слайдов):
Слайд 1: (надпись: «Детали, которые заказчик не видит») Обложка - макро стыка латунного профиля и поверхности Nero Marquina, боковой свет выявляет рельеф.
Слайд 2: (надпись: «Латунный кант: PVD brushed») Профиль в разрезе - схема: латунная основа, PVD-покрытие 2-4 мкм. Текст: «PVD не красит латунь - оно напыляет керамику на молекулярном уровне. Тон не меняется со временем».
Слайд 3: (надпись: «Подготовка камня под кант») Фото - торец слэба Nero Marquina после фрезеровки, угол 90 градусов, перепад не более 0,3 мм. Текст: «Допуск 0,3 мм. Если больше - стык видно при боковом свете».
Слайд 4: (надпись: «Клеевой шов: что используем») Крупный план - нанесение конструкционного эпоксидного состава на торец. Текст: «Эпоксид держит сдвиговую нагрузку до 12 МПа. Камень сломается раньше, чем шов разойдётся».
Слайд 5: (надпись: «Финальный контроль - боковой свет») Богдан с фонариком вдоль стыка - проверяет линию. Текст: «Если видна ступенька или зазор - изделие переделывается. Это не торг».
Слайд 6: (надпись: «Образцы и спека - в личку») CTA на тёмном фоне, логотип VALONTI. Текст: «Nero Marquina + латунь PVD brushed / образец по запросу».
В кадре: стык латунного канта PVD brushed и слэба Nero Marquina / разрез профиля / макро + схематика / студийный боковой жёсткий свет",carousel,"Стык латунного канта PVD brushed и столешницы Nero Marquina, макро 1:1",13.06.2026,
w25-mon-g,25,Пн,G,IG/VK,Reels,До/после,"Кабинет: до хаос, после TRUBIS ORO",«Кабинет без мебели - просто комната с проводами»,охват,план,,SMM,нет,,"Кабинет без мебели - просто комната с проводами.

До: рабочий стол из «Икеа» 2015 года, три стула с разных гарнитуров и стопки папок прямо на полу.

После: журнальный стол TRUBIS M в палитре ORO BS002 (золотой муар) + стеллаж 37x100x180. Комплект «Кабинет» - скидка 8-12%.

ORO - не кричащее золото, это тёплый зеркальный муар: при дневном свете он матовый, при точечном - начинает светиться изнутри. Хорошо работает рядом с мрамором и латунью.

Всё с нашего склада в Домодедово, срок - 1-3 рабочих дня для стандартных позиций.

Калькулятор комплекта - в шапке профиля.

#GENGLASS #кабинет #TRUBIS #ORO #рабочееместо #мебельдляработы #доипосле

Сценарий (Reels, ~28сек):
0-2с: статичный кадр «до» - захламлённый угол кабинета, разношёрстная мебель, провода на полу. Тихая атмосфера.
3-7с: ускоренный монтаж: выносят старый стол, заносят коробки GENGLASS. Лёгкий тайм-лапс.
8-14с: сборка журнального стола TRUBIS M - каннелированные основания встают, столешница ложится сверху. Камера снизу вверх по колонне ORO.
15-20с: финальный кадр «после» - широкий план кабинета. На столе ноутбук, стакан с карандашами; стеллаж рядом, несколько книг расставлены.
21-24с: крупный план поверхности ORO BS002 - боковой свет, муар переливается при движении камеры. Без слов.
25-28с: надпись «Комплект Кабинет / скидка 8-12% / склад Домодедово» на тёмной плашке + логотип.
Текст на экране: «ORO BS002. Склад. 1-3 дня».
Аудио: тихий ambient без музыки, в сцене сборки - натуральный звук металла.
В кадре: стол TRUBIS M + стеллаж 37x100x180 / палитра ORO BS002 золотой муар / кабинет с боковым дневным светом / надвигающаяся камера снизу вверх",video,Кабинет до/после: рабочая зона с журнальным столом TRUBIS M в ORO и стеллажом,15.06.2026,
w25-tue-v,25,Вт,V,IG/VK,Reels макро,Материал крупно,Onyx Miele backlit: свет сквозь камень,"«Камень, который светится изнутри. Без фотошопа»",охват целевой,план,,SMM,нет,,"Камень, который светится изнутри. Без фотошопа.

Onyx Miele - медовый оникс. Полупрозрачный: если поставить за ним источник 2700-3000K, свет проходит сквозь толщину камня и выявляет прожилки, которых не видно при обычном освещении.

Техника backlit используется в барных стойках, перегородках, нишах изголовья. Богдан подбирает толщину слэба под интенсивность подсветки - 18-20 мм для мягкого рассеивания, 14 мм для более насыщенного эффекта.

Отделка polished - поверхность отражает и пропускает свет одновременно. Это не декор, это физика материала.

Работаете с объектом, где нужен эффект backlit? Напишите в личку - пришлём образец Onyx Miele и спеку по толщинам.

#VALONTI #OnyxMiele #оникс #backlit #камень #дизайнинтерьера #архитектурноеосвещение

Сценарий (Reels, ~22сек):
0-2с: чёрный экран. Постепенно проявляется поверхность Onyx Miele - матовая, без подсветки. Надпись «До подсветки».
3-7с: за слэбом медленно включается источник 3000K - свет начинает проходить сквозь камень снизу вверх. Прожилки проявляются одна за другой.
8-13с: полная подсветка - медовые и янтарные тона, прожилки читаются как карта. Камера медленно отъезжает назад, показывая весь слэб.
14-17с: смена ракурса - съёмка сбоку, видно как свет выходит через торец камня. Голос за кадром: «18 мм. Мягкое рассеивание».
18-22с: финальный кадр - слэб в контексте интерьерного макета (тёмный фон), надпись «Onyx Miele / backlit / образец по запросу».
Текст на экране: «Физика материала. Не фильтр».
Аудио: полная тишина, только в момент включения подсветки - лёгкий электрический щелчок (реальный звук).
В кадре: слэб Onyx Miele polished / толщина 18-20 мм / источник 3000K за камнем / макро + средний план / свет только backlit, никакого дополнительного",video,Слэб Onyx Miele с подсветкой backlit - медовый свет сквозь толщину камня,16.06.2026,
w25-wed-g,25,Ср,G,IG/VK,карусель,Этот VS тот,CIPRIA vs NERO: Quiet Luxury в цифрах,"«CIPRIA или NERO? Разбираем, кому что подходит»",сохранения,план,,SMM,нет,,"CIPRIA или NERO? Разбираем, кому что подходит.

Оба в наличии. Оба работают. Но в очень разных интерьерах.

Сохраните - удобно сравнивать при выборе.

Если не уверены, какая палитра ваша - напишите, пришлём фото объектов в обеих.

#GENGLASS #CIPRIA #NERO #QuietLuxury #зеркало #палитра #выбормебели

Сценарий (карусель, 7 слайдов):
Слайд 1: (надпись: «CIPRIA vs NERO. Листайте») Обложка - зеркало EVELIX S в двух палитрах рядом: слева пудровый CIPRIA RAL 3015, справа чёрный NERO RAL 9005. Симметричный кадр, одинаковый свет.
Слайд 2: (надпись: «CIPRIA RAL 3015 dE=2 / Drop Весна 2026») Крупный план рамы CIPRIA. Текст: «Пудрово-розовый, отклонение от эталона dE не более 2. 7 моделей в коллекции: EVELIX S, RAUNTEL L, KUVINO L, TRUBIS S, TRUBIS Oval 160, ONIKS M, VESHAL P + Made-to-Order».
Слайд 3: (надпись: «NERO RAL 9005 муар / с 2018 года») Крупный план рамы NERO. Текст: «Матовый чёрный, стойкое порошковое покрытие, в каталоге с 2018. Подходит под лофт, минимализм, скандинав с тёмными акцентами».
Слайд 4: (надпись: «Интерьер под CIPRIA: что рядом работает») Коллаж - розовый CIPRIA с бежевым льном, деревом светлым, травертином. Текст: «Quiet Luxury - нейтральные тёплые тона, никакого контраста. Рядом хорошо: травертин, латунь, молочный текстиль».
Слайд 5: (надпись: «Интерьер под NERO: что рядом работает») Коллаж - чёрный NERO с белым бетоном, открытой кирпичной кладкой, зеленью. Текст: «Лофт и минимализм. Хорошо держит: белый, серый, натуральный металл, стекло».
Слайд 6: (надпись: «Срок / склад / на заказ») Таблица: CIPRIA - MTO 5-10 дней (зеркала), 20-30 дней (столы); NERO - склад Домодедово 1-3 дня (стандарт), MTO по нестандарту.
Слайд 7: (надпись: «Не решили? Напишите - пришлём фото объектов») CTA-слайд. Логотип GENGLASS, текст «CIPRIA и NERO - оба в производственной программе 2026».
В кадре: зеркало EVELIX S в палитрах CIPRIA и NERO / симметричный студийный свет / фронтальный ракурс / коллажи интерьеров",carousel,"Обложка карусели: зеркало EVELIX S слева в CIPRIA (пудровый), справа в NERO (чёрный)",17.06.2026,
w25-thu-v,25,Чт,V,IG/VK,длинное,Авторский разбор от Богдана,Богдан: почему я не делаю polished Travertino,«Меня часто просят Travertino polished. Я почти всегда отказываю»,доверие,план,,Богдан,нет,,"Меня часто просят Travertino polished. Я почти всегда отказываю.

Не потому что не умею. А потому что через 8-12 месяцев активной эксплуатации глянцевый травертин начинает терять зеркальность на рёбрах и в зонах касания. Это физика пористой породы - она мягче гранита примерно в 2-3 раза по шкале Мооса.

Honed - матовая отделка - ведёт себя иначе. Царапины на honed практически не читаются, потому что поверхность уже рассеивает свет. Пора остаётся порой, а не становится дефектом.

Я делаю исключения для вертикальных поверхностей: стеновые панели, фасады без касания - там polished работает долго. Но столешница, барная стойка, подоконник - только honed.

Если ваш дизайнер настаивает на polished для горизонтали - попросите его показать объект через 2 года. Это честный тест.

Образцы Travertino Navona honed и polished - в личку, вышлю с описанием условий применения.

#VALONTI #Богдан #TravertinoNavona #травертин #honed #дизайнинтерьера #авторскаямебель

Сценарий (Reels, ~40сек):
0-3с: Богдан в студии, на столе два образца Travertino Navona - один polished, один honed. Молча раскладывает их перед камерой.
4-9с: крупный план polished - Богдан наклоняет образец, показывает как он отражает источник света. Голос: «Полированный. Красиво. Но это сейчас».
10-16с: Богдан берёт металлический ключ и лёгким движением проводит по краю polished образца - на ребре остаётся матовая полоса. Голос: «Восемь месяцев стола - и ребро вот так».
17-23с: переходит к honed. Та же операция с ключом - поверхность практически не меняется. Голос: «Honed. Царапина есть, но поверхность её не показывает - она рассеивает свет одинаково».
24-30с: Богдан поднимает взгляд прямо в камеру. Голос: «Для горизонтали - только honed. Это не мнение. Это два года разницы».
31-38с: крупный план обоих образцов рядом, медленное движение камеры вдоль. Надпись «Travertino Navona / honed & polished / образцы по запросу».
39-40с: логотип VALONTI, «в личку».
Текст на экране: «Горизонталь. Только honed. Богдан».
Аудио: живой голос Богдана без озвучки, атмосфера студии. Никаких треков.
В кадре: Богдан / два образца Travertino Navona (honed + polished) / студийный стол / боковой жёсткий свет слева",video,"Богдан с двумя образцами Travertino - polished и honed - в руках, боковой свет",18.06.2026,
